2	-0.263	0.36	0.55	0.762	0.969	1.223
3	-0.171	0.297	0.437	0.594	0.741	0.928
4	-0.123	0.283	0.403	0.535	0.656	0.814
5	-0.094	0.288	0.399	0.521	0.628	0.773
6	-0.073	0.302	0.41	0.528	0.628	0.768
7	-0.058	0.323	0.431	0.548	0.645	0.784
8	-0.046	0.346	0.457	0.576	0.672	0.812
9	-0.036	0.372	0.486	0.609	0.705	0.85
10	-0.027	0.4	0.519	0.646	0.743	0.893
11	-0.02	0.429	0.553	0.685	0.785	0.941
12	-0.013	0.459	0.588	0.726	0.83	0.992
13	-0.007	0.489	0.625	0.769	0.876	1.045
14	-0.001	0.52	0.662	0.814	0.924	1.101
15	0.004	0.551	0.701	0.859	0.973	1.158
16	0.009	0.583	0.739	0.904	1.023	1.217
17	0.013	0.615	0.779	0.951	1.074	1.276
18	0.018	0.647	0.818	0.998	1.126	1.337
19	0.022	0.68	0.858	1.046	1.178	1.398
20	0.026	0.712	0.898	1.094	1.231	1.46
