2.2	0.744	1.632	0.724	0.957	1.366	1.404
2.4	0.75	1.605	0.728	0.964	1.343	1.4
2.6	0.76	1.592	0.737	0.976	1.332	1.405
2.8	0.774	1.589	0.75	0.994	1.329	1.418
3	0.79	1.593	0.765	1.015	1.333	1.437
3.2	0.809	1.605	0.783	1.039	1.343	1.461
3.4	0.83	1.621	0.803	1.065	1.356	1.489
3.6	0.852	1.643	0.824	1.094	1.374	1.521
3.8	0.876	1.668	0.846	1.124	1.395	1.555
4	0.901	1.696	0.87	1.156	1.419	1.592
4.2	0.927	1.727	0.895	1.189	1.444	1.631
4.4	0.954	1.76	0.92	1.223	1.472	1.672
4.6	0.981	1.796	0.947	1.258	1.502	1.714
4.8	1.009	1.833	0.973	1.294	1.533	1.758
5	1.038	1.872	1.001	1.331	1.565	1.803
5.2	1.067	1.912	1.029	1.368	1.599	1.849
