0	0	0	0	0	0	0
0.02	0.005	0.007	0.009	0.008	-0.003	-0.003
0.04	0.01	0.014	0.017	0.016	-0.005	-0.006
0.06	0.015	0.02	0.026	0.024	-0.008	-0.009
0.08	0.02	0.027	0.035	0.032	-0.01	-0.012
0.1	0.026	0.034	0.043	0.04	-0.013	-0.016
0.12	0.031	0.041	0.052	0.048	-0.015	-0.019
0.14	0.036	0.048	0.061	0.056	-0.018	-0.022
0.16	0.041	0.055	0.069	0.064	-0.02	-0.025
0.18	0.046	0.061	0.078	0.072	-0.023	-0.028
0.2	0.051	0.068	0.087	0.081	-0.026	-0.031
0.22	0.056	0.075	0.095	0.089	-0.028	-0.034
0.24	0.061	0.082	0.104	0.097	-0.031	-0.037
0.26	0.066	0.089	0.113	0.105	-0.033	-0.041
0.28	0.072	0.096	0.121	0.113	-0.036	-0.044
0.3	0.077	0.102	0.13	0.121	-0.038	-0.047
0.32	0.082	0.109	0.139	0.129	-0.041	-0.05
0.34	0.087	0.116	0.148	0.137	-0.044	-0.053
0.36	0.092	0.123	0.156	0.145	-0.046	-0.056
0.38	0.097	0.13	0.165	0.153	-0.049	-0.059
0.4	0.102	0.137	0.174	0.161	-0.051	-0.062
0.42	0.107	0.143	0.182	0.169	-0.054	-0.066
