20	-0.754	-0.693	-0.476	0.601	1.346	1.815
25	-0.437	-0.294	0.001	1.035	1.737	2.163
30	-0.195	0.02	0.389	1.427	2.12	2.527
35	0.004	0.286	0.727	1.795	2.498	2.899
40	0.176	0.521	1.033	2.148	2.874	3.278
45	0.33	0.736	1.319	2.491	3.247	3.66
50	0.472	0.937	1.59	2.827	3.619	4.044
55	0.605	1.128	1.85	3.158	3.99	4.431
60	0.731	1.311	2.102	3.485	4.361	4.819
65	0.852	1.488	2.347	3.809	4.731	5.208
70	0.969	1.661	2.588	4.13	5.1	5.598
75	1.083	1.83	2.825	4.45	5.469	5.988
80	1.193	1.996	3.059	4.769	5.838	6.379
85	1.302	2.159	3.291	5.086	6.206	6.771
90	1.409	2.32	3.52	5.402	6.575	7.163
95	1.514	2.48	3.747	5.717	6.943	7.555
100	1.618	2.638	3.973	6.032	7.311	7.948
110	1.823	2.95	4.421	6.659	8.046	8.734
120	2.024	3.258	4.865	7.285	8.782	9.52
130	2.223	3.564	5.306	7.908	9.517	10.307
140	2.419	3.867	5.744	8.531	10.251	11.095
150	2.614	4.168	6.18	9.153	10.986	11.883
160	2.808	4.468	0	0	0	0
170	3	4.767	0	0	0	0
180	3.192	5.064	0	0	0	0
190	3.383	5.361	0	0	0	0
200	3.573	5.657	0	0	0	0
210	3.763	5.952	0	0	0	0
220	3.952	6.247	0	0	0	0
230	4.14	6.541	0	0	0	0
240	4.329	6.835	0	0	0	0
250	4.517	7.128	0	0	0	0
