0	0	0	0	0	0	0
0.02	0.002	0.009	0.005	0.009	0.007	0.01
0.04	0.005	0.017	0.01	0.018	0.015	0.02
0.06	0.007	0.026	0.015	0.027	0.022	0.029
0.08	0.009	0.035	0.02	0.037	0.03	0.039
0.1	0.012	0.044	0.026	0.046	0.037	0.049
0.12	0.014	0.052	0.031	0.055	0.045	0.059
0.14	0.016	0.061	0.036	0.064	0.052	0.069
0.16	0.019	0.07	0.041	0.073	0.06	0.078
0.18	0.021	0.079	0.046	0.082	0.067	0.088
0.2	0.023	0.087	0.051	0.091	0.075	0.098
0.22	0.026	0.096	0.056	0.101	0.082	0.108
0.24	0.028	0.105	0.061	0.11	0.09	0.117
0.26	0.03	0.114	0.067	0.119	0.097	0.127
0.28	0.033	0.122	0.072	0.128	0.104	0.137
0.3	0.035	0.131	0.077	0.137	0.112	0.147
0.32	0.037	0.14	0.082	0.146	0.119	0.157
0.34	0.04	0.149	0.087	0.155	0.127	0.166
0.36	0.042	0.157	0.092	0.165	0.134	0.176
0.38	0.044	0.166	0.097	0.174	0.142	0.186
0.4	0.047	0.175	0.102	0.183	0.149	0.196
0.42	0.049	0.184	0.107	0.192	0.157	0.206
