0	0	0	0	0	0	0
0.05	-0.014	-0.024	-0.026	-0.027	-0.031	-0.033
0.1	-0.027	-0.048	-0.051	-0.053	-0.062	-0.065
0.15	-0.039	-0.069	-0.075	-0.078	-0.091	-0.097
0.2	-0.05	-0.089	-0.099	-0.103	-0.12	-0.127
0.25	-0.059	-0.108	-0.122	-0.127	-0.149	-0.157
0.3	-0.067	-0.126	-0.144	-0.151	-0.176	-0.186
0.35	-0.074	-0.141	-0.165	-0.174	-0.203	-0.213
0.4	-0.079	-0.156	-0.186	-0.196	-0.228	-0.241
0.45	-0.083	-0.169	-0.207	-0.218	-0.254	-0.267
0.5	-0.086	-0.181	-0.226	-0.239	-0.278	-0.292
0.55	-0.088	-0.191	-0.245	-0.26	-0.301	-0.317
0.6	-0.088	-0.2	-0.263	-0.28	-0.324	-0.341
0.65	-0.087	-0.207	-0.281	-0.299	-0.346	-0.364
0.7	-0.085	-0.213	-0.297	-0.318	-0.367	-0.386
0.75	-0.082	-0.218	-0.314	-0.336	-0.388	-0.407
0.8	-0.077	-0.221	-0.329	-0.354	-0.408	-0.427
0.85	-0.071	-0.223	-0.344	-0.371	-0.426	-0.447
