20	-0.217	-0.681	-0.95	-1.041	-1.213	-1.08
25	-0.16	-0.533	-0.74	-0.796	-0.908	-0.768
30	-0.119	-0.432	-0.597	-0.627	-0.693	-0.543
35	-0.088	-0.357	-0.492	-0.5	-0.53	-0.366
40	-0.063	-0.3	-0.41	-0.401	-0.399	-0.221
45	-0.042	-0.254	-0.344	-0.318	-0.289	-0.096
50	-0.023	-0.216	-0.289	-0.249	-0.195	0.015
55	-0.006	-0.183	-0.242	-0.188	-0.111	0.115
60	0.009	-0.155	-0.201	-0.134	-0.035	0.208
65	0.023	-0.13	-0.164	-0.085	0.034	0.294
70	0.036	-0.18	-0.132	-0.041	0.098	0.376
75	0.048	-0.087	-0.102	0.001	0.158	0.453
80	0.06	-0.069	-0.074	0.039	0.216	0.528
85	0.071	-0.052	-0.049	0.076	0.27	0.6
90	0.082	-0.036	-0.025	0.11	0.322	0.671
95	0.092	-0.02	-0.003	0.143	0.373	0.739
100	0.102	-0.006	0.019	0.175	0.421	0.806
110	0.122	0.02	0.059	0.235	0.515	0.936
120	0.141	0.044	0.095	0.292	0.605	1.062
130	0.159	0.067	0.13	0.347	0.691	1.185
140	0.177	0.088	0.163	0.399	0.775	1.305
150	0.195	0.109	0.194	0.449	0.857	1.424
160	0.212	0.128	0.224	0.499	0.938	1.541
170	0.229	0.147	0.253	0.547	1.017	1.657
180	0.246	0.165	0.281	0.594	1.095	1.772
190	0.263	0.183	0.309	0.641	1.172	1.886
200	0.279	0.2	0.336	0.686	1.248	1.99
210	0.295	0.217	0.362	0.732	1.324	2.112
220	0.312	0.233	0.388	0.776	1.399	2.224
230	0.328	0.25	0.414	0.821	1.473	2.336
240	0.344	0.266	0.439	0.865	1.547	2.447
250	0.36	0.282	0.464	0.908	1.621	2.558
