0	0	0	0	0	0	0
0.02	0.015	0	0	0	0	0
0.04	0.029	0	0	0	0	0
0.06	0.044	0	0	0	0	0
0.08	0.058	0	0	0	0	0
0.1	0.073	0.035	0.066	0.019	0.056	0.045
0.12	0.088	0.042	0.079	0.023	0.067	0.054
0.14	0.102	0.049	0.092	0.026	0.079	0.062
0.16	0.117	0.056	0.105	0.03	0.09	0.071
0.18	0.131	0.063	0.118	0.034	0.101	0.08
0.2	0.146	0.07	0.131	0.038	0.112	0.089
0.22	0.161	0.077	0.144	0.041	0.124	0.098
0.24	0.175	0.084	0.157	0.045	0.135	0.107
0.26	0.19	0.091	0.171	0.049	0.146	0.116
0.28	0.204	0.098	0.184	0.053	0.157	0.125
0.3	0.219	0.105	0.197	0.057	0.169	0.134
0.32	0.234	0.112	0.21	0.06	0.18	0.143
0.34	0.248	0.119	0.223	0.064	0.191	0.152
0.36	0.263	0.126	0.236	0.068	0.202	0.161
0.38	0.277	0.133	0.249	0.072	0.213	0.17
0.4	0.292	0.14	0.262	0.075	0.225	0.178
0.42	0.307	0.147	0.276	0.079	0.236	0.187
