2.2	-0.224	1.297	1.271	1.688	2.037	2.8
2.4	-0.216	1.272	1.244	1.648	1.986	2.733
2.6	-0.21	1.258	1.227	1.622	1.953	2.689
2.8	-0.206	1.252	1.218	1.607	1.934	2.664
3	-0.203	1.252	1.216	1.602	1.925	2.654
3.2	-0.201	1.258	1.219	1.603	1.925	2.656
3.4	-0.2	1.268	1.227	1.611	1.933	2.668
3.6	-0.2	1.282	1.238	1.624	1.946	2.688
3.8	-0.2	1.299	1.253	1.64	1.965	2.715
4	-0.201	1.319	1.27	1.661	1.988	2.748
4.2	-0.203	1.341	1.289	1.684	2.015	2.786
4.4	-0.204	1.365	1.311	1.71	2.045	2.829
4.6	-0.206	1.391	1.334	1.739	2.078	2.876
4.8	-0.209	1.418	1.358	1.769	2.113	2.925
5	-0.211	1.446	1.384	1.801	2.151	2.978
5.2	-0.214	1.476	1.411	1.835	2.19	3.033
