14.9	-3.971	-3.864	-2.862	-3.449	-2.707	-3.866
14.95	-3.984	-3.877	-2.872	-3.46	-2.716	-3.899
15	-3.998	-3.89	-2.881	-3.472	-2.726	-3.912
15.05	-4.011	-3.903	-2.891	-3.483	-2.735	-3.925
15.1	-4.024	-3.916	-2.901	-3.495	-2.744	-3.938
15.15	-4.038	-3.929	-2.91	-3.506	-2.753	-3.951
15.2	-4.051	-3.942	-2.92	-3.518	-2.762	-3.964
15.25	-4.064	-3.955	-2.929	-3.53	-2.771	-3.977
15.3	-4.078	-3.968	-2.939	-3.541	-2.78	-3.99
15.35	-4.091	-3.981	-2.949	-3.553	-2.789	-4.003
15.4	-4.104	-3.993	-2.958	-3.564	-2.798	-4.016
15.45	-4.118	-4.006	-2.968	-3.576	-2.807	-4.029
15.5	-4.131	-4.019	-2.977	-3.587	-2.816	-4.042
15.55	-4.144	-4.032	-2.987	-3.599	-2.825	-4.056
15.6	-4.158	-4.045	-2.997	-3.611	-2.835	-4.069
15.65	-4.171	-4.058	-3.006	-3.622	-2.844	-4.082
15.7	-4.184	-4.071	-3.016	-3.634	-2.853	-4.095
15.75	-4.198	-4.084	-3.025	-3.645	-2.862	-4.108
15.8	-4.211	-4.097	-3.035	-3.657	-2.871	-4.121
15.85	-4.224	-4.11	-3.045	-3.668	-2.88	-4.134
15.9	-4.238	-4.123	-3.054	-3.68	-2.889	-4.147
15.95	-4.251	-4.136	-3.064	-3.692	-2.898	-4.16
16	-4.264	-4.149	-3.073	-3.703	-2.907	-4.173
16.05	-4.278	-4.162	-3.083	-3.715	-2.916	-4.186
16.1	-4.291	-4.175	-3.093	-3.726	-2.925	-4.199
16.15	-4.304	-4.188	-3.102	-3.738	-2.934	-4.212
16.2	-4.318	-4.201	-3.112	-3.749	-2.944	-4.225
