0	0	0	0	0	0	0
0.02	0.013	0.006	0.007	0.013	0.012	0.011
0.04	0.029	0.016	0.017	0.028	0.026	0.025
0.06	0.047	0.029	0.031	0.046	0.043	0.041
0.08	0.067	0.046	0.049	0.065	0.061	0.059
0.1	0.09	0.067	0.069	0.087	0.083	0.079
0.12	0.116	0.091	0.093	0.111	0.106	0.101
0.14	0.143	0.118	0.121	0.137	0.132	0.126
0.16	0.173	0.15	0.152	0.166	0.16	0.153
0.18	0.206	0.185	0.187	0.196	0.191	0.183
0.2	0.241	0.223	0.225	0.229	0.224	0.215
0.22	0.278	0.265	0.266	0.264	0.259	0.248
0.24	0.318	0.311	0.311	0.301	0.297	0.285
0.26	0.36	0.36	0.359	0.34	0.336	0.323
0.28	0.405	0.412	0.411	0.382	0.379	0.364
0.3	0.452	0.469	0.466	0.426	0.423	0.407
0.32	0.501	0.529	0.525	0.472	0.47	0.452
0.34	0.553	0.592	0.587	0.52	0.52	0.5
0.36	0.607	0.659	0.652	0.57	0.571	0.55
0.38	0.664	0.73	0.721	0.622	0.625	0.602
0.4	0.723	0.804	0.794	0.677	0.682	0.656
